COMPANYID,JOBTITLE,COMPANYNAME,RATING,JOBLOCATION,JOBSUMMARY,POSTDATE,EXTRACTIONDATE,POTENTIALCOMPENSATION
458,E-Commerce Scrum Master (Remote),J.Jill,3.8,Quincy,works with development teams and product owners to help ensure execution alignment for scrum teams. the e-commerce scrum master leads the scrum/squad of the e…,30,2022-05-04,Full-time
459,Sr Product Manager,Convention Data Services,3.6,Bourne,"accountable for product training to end users through various methods (live, written, video, etc.) where deemed most effective for each set of users.",26,2022-05-04,Full-time
460,Sr Azure Engineer - Remote,Allscripts,3.6,Boston,"with the largest community of clients in healthcare, allscripts is able to deliver an integrated platform of clinical, financial, connectivity and information…",18,2022-05-04,
461,Senior Business Systems Analyst (remote),Pearson,3.7,Boston,"ability to quickly learn technical concepts and new technology, and to recommend solutions and alternatives. strong understanding of technology concepts, tools…",30,2022-05-04,
462,Senior Product Manager (IoT platform),Schneider Electric,3.7,Boston,understand deeply the needs of internal and external users through primary and secondary research; understand how the current product addresses them; identify…,20,2022-05-04,Full-time
463,Developer Support Engineer,Veeva Systems,3.7,Boston,veeva is looking for developer support engineers to drive customer success with vault developer tools and represent the voice of the developer for the veeva…,30,2022-05-04,
464,Group Technical Product Manager,Angi,3.3,Boston,"as a group technical product manager at angi, you will be a key member of the product team (and engineering organization) who is responsible for developing and…",5,2022-05-04,
465,Senior Information Security Architect (FULLY REMOTE),The Hanover Insurance Group,3.7,Worcester,"bachelor’s degree in information security/technology or associated discipline. 10+ years of experience in information security systems architecture, controls…",30,2022-05-04,Full-time
466,"Product Manager - Data Focus, Remote US","TriNetX, LLC",,Cambridge,"as a product manager, you will help bring to market new product and service capabilities for trinetx. technical knowledge and experience with jira, confluence,…",5,2022-05-04,Full-time
467,"Implementation Project Manager (Cork, Ireland)",ProcessUnity,4.0,Concord,apply understanding of requirements and technology to ensure alignment between customer objectives and system capabilities.,30,2022-05-04,
468,Sumo Logic Engineer - Northeast (Remote),GuidePoint Security,4.2,Boston,our unique position as both a value-added reseller (var) and a professional services organization also requires our security engineers to continually expand…,26,2022-05-04,
469,Associate Director of Business Data (Remote),CONTRIBUTOR DEVELOPMENT PARTNERSHIP,,Boston,"reporting to the director of business & data analytics, the associate director of business data devises and oversees the methodology and execution of all…",30,2022-05-04,Full-time
470,"Senior Technical Functional Consultant, CLM Implementation",Agiloft,,Boston,"strong analytical skills, creativity, familiarity with web-based saas technologies and database concepts, and a growth mindset. 401k plan with company match.",30,2022-05-04,
471,Technical Project Manager,Recruiting From Scratch,,Boston,"they are committed to lifelong learning, offering comprehensive skills training and tuition reimbursement. you are a part of: you will work closely with program…",28,2022-05-04,
472,Product Manager,KGA Inc.,,Southborough,"overseeing the success, maintenance, and vision of kga's mylifeservices, our digital service delivery platform. problem-solving and communication skills.",19,2022-05-04,Full-time
473,Senior Manager Product Security,Johnson & Johnson,4.2,Boston,a minimum of 10 years of progressive experience in leadership roles within information technology or cybersecurity functions. this may require up to 10% travel.,3,2022-05-04,
474,Sr. Appian Developer,IEM,4.0,Boston,design and implementation of new features and implement improvements to existing features on the appian platform. appian level 1 credentials preferred.,30,2022-05-04,Full-time
475,Senior Technical Consultant,GlideFast Consulting,4.2,Waltham,"experience in multiple application architectures and supporting technologies. continue learning service delivery solutions, technologies and methodologies.",30,2022-05-04,Full-time
476,OmniCare Clinical Care Product Management Lead,Humana,3.6,Boston,responsible for reporting on product-level outcomes as well as providing timely and accurate information and status updates to functional leaders.,30,2022-05-04,Full-time
477,Regional Program Manager,Wunderman Thompson,3.8,Boston,knowledge of information technology concepts and practices. provides training and 3rd level support to client and agency users.,30,2022-05-04,
478,"Director, PSC Quality Control Systems",GSK,4.2,Waltham,"develop programs to build capabilities with end users. ability to analyze complex data/information/scenarios and make rational, risk based decisions which are…",30,2022-05-04,
479,Product Manager,Ascensus,3.1,Boston,"proven ability to quickly grasp information and independently produce results. this role is an integral part of the product team, acting as a liaison between…",27,2022-05-04,Full-time
480,Cloud Consultant Microsoft,Connection,3.2,Merrimack,technical proficiency in and learning attitude toward azure technologies. the consultant provides cloud technology advice and support to sales and customers.,30,2022-05-04,Full-time
481,Technical Project Manager,Recruiting From Scratch,,Boston,"they are committed to lifelong learning, offering comprehensive skills training and tuition reimbursement. you are a part of: you will work closely with program…",28,2022-05-04,
482,Product Manager,KGA Inc.,,Southborough,"overseeing the success, maintenance, and vision of kga's mylifeservices, our digital service delivery platform. problem-solving and communication skills.",19,2022-05-04,Full-time
483,Senior Manager Product Security,Johnson & Johnson,4.2,Boston,a minimum of 10 years of progressive experience in leadership roles within information technology or cybersecurity functions. this may require up to 10% travel.,3,2022-05-04,
484,Sr. Appian Developer,IEM,4.0,Boston,design and implementation of new features and implement improvements to existing features on the appian platform. appian level 1 credentials preferred.,30,2022-05-04,Full-time
485,Senior Technical Consultant,GlideFast Consulting,4.2,Waltham,"experience in multiple application architectures and supporting technologies. continue learning service delivery solutions, technologies and methodologies.",30,2022-05-04,Full-time
486,OmniCare Clinical Care Product Management Lead,Humana,3.6,Boston,responsible for reporting on product-level outcomes as well as providing timely and accurate information and status updates to functional leaders.,30,2022-05-04,Full-time
487,Regional Program Manager,Wunderman Thompson,3.8,Boston,knowledge of information technology concepts and practices. provides training and 3rd level support to client and agency users.,30,2022-05-04,
488,"Director, PSC Quality Control Systems",GSK,4.2,Waltham,"develop programs to build capabilities with end users. ability to analyze complex data/information/scenarios and make rational, risk based decisions which are…",30,2022-05-04,
489,Product Manager,Ascensus,3.1,Boston,"proven ability to quickly grasp information and independently produce results. this role is an integral part of the product team, acting as a liaison between…",27,2022-05-04,Full-time
490,Cloud Consultant Microsoft,Connection,3.2,Merrimack,technical proficiency in and learning attitude toward azure technologies. the consultant provides cloud technology advice and support to sales and customers.,30,2022-05-04,Full-time
491,Research Data Project Manager - Genetics and Prevention,Dana-Farber Cancer Institute,4.1,Boston,"awareness of or ability to learn new programming languages (e.g., r, sas, sql, cloud computing, and emerging technologies).",28,2022-05-04,Full-time
492,"Director, Growth and Retention",Lookout,4.0,Boston,"continually analyze, innovate and implement solutions that help our customers secure digital life, while also understanding and protecting end users desire for…",30,2022-05-04,
493,IT Talent Acquisition Partner,Bright Horizons Family Solutions,3.5,Newton,"the advisor partners closely with it senior leaders, hiring managers, talent acquisition team, hr business partners, candidates and vendors to ensure department…",30,2022-05-04,Full-time
494,Senior Systems Engineer,Biofourmis,,Boston,"the senior systems engineer will play a critical role in supporting the design, development, testing, and documentation of our solutions.",30,2022-05-04,
495,Senior IT Audit Associate,The RiverStone Group,4.5,Manchester,leverage technology and identify opportunities to utilize data analytics to enhance cas efficiency and value of audit deliverables.,30,2022-05-04,Full-time
496,Senior Security Engineer,Recruiting From Scratch,,Boston,"our client is looking for an experienced security engineer who is passionate about protecting customer data, designing & developing security features, setting…",30,2022-05-04,"$100,000 - $200,000 a year"
497,"Project Analyst/Manager, Assistant Vice President (remote)",State Street,3.5,Quincy,"you’ll have access to flexible work program to help you match your needs. this role can be performed in a hybrid model or remote, where you can balance work…",30,2022-05-04,Full-time
498,Customer Success Engineer SAAS,Qlik,3.8,Waltham,the customer success management team is a cornerstone to ensure we understand customer needs and outcomes and create and manage a set of offerings that result…,30,2022-05-04,Full-time
499,ServiceNow Developer/Administrator,Northeastern University,4.2,Boston,work with users to identify and refine business requirements and workflows. identify and define business solutions for users that are aligned with best…,30,2022-05-04,Full-time
500,"Technical Program Manager, Security Field Solutions",Splunk,4.2,Boston,support tracking business conditions and evolving technology strategies with cross-functional teams. develop collaborative and effective working relationships…,4,2022-05-04,Full-time
501,Senior IT Project Manager Specialty Lines,The Hanover Insurance Group,3.7,Worcester,we are looking for a proven technology delivery leader with a desire to help drive strategic business outcomes for our specialty lines of business.,6,2022-05-04,Full-time
502,Customer Success Manager - VMware Tanzu - Opportunity for Wo...,VMware,4.1,Boston,"ensure timely and successful customer on-boarding, enablement, and training to help customers realize the business value of our partnership and offerings.",5,2022-05-04,Full-time
503,Solution Consultant - East,Zuora,3.7,Boston,become a key partner to our sales team and help the team hit their quarterly revenue goals. strong business value selling experience and familiarity with saas…,30,2022-05-04,
504,Solidity Blockchain Solidity Developer,"Arganteal, Corp.",,Boston,"in-depth understanding of the blockchain technologies, especially ethereum. job type: contract to hire / fte. knowlege of the ethereum virtual machine.",19,2022-05-04,$50 an hour
505,Engineering Product Owner - Remote Opportunity,UniFirst,3.2,Wilmington,"must demonstrate exceptional communication skills by conveying necessary information accurately, listening effectively and asking questions where clarification…",21,2022-05-04,Full-time
506,Senior Cyber Intelligence Specialist,Citizens,3.4,Riverside,"executing processes and procedures to monitor and analyze open source, government, and sharing community sources to identify relevant threats and…",7,2022-05-04,Full-time
507,"Manager, Enterprise Risk - Opportunity for Working Remotely...",VMware,4.1,Boston,if you are somebody who is passionate about influencing business stakeholder thinking around balancing active risk taking with appropriate risk mitigation /…,30,2022-05-04,Full-time
508,Sr. Product Manager (Regulatory Compliance) REMOTE,Risk Solutions,3.9,Cambridge,experience contributing to engineering discussions around technology decisions and strategy related to a product. also act as product owner in agile processes.,1,2022-05-04,Full-time
509,API Product Manager,Wellframe,,Boston,"build expert knowledge of health plan staff workflows, wellframe strategy, product, users, and data. our product managers bring energy, curiosity, and passion…",11,2022-05-04,
510,Product Strategy Manager - (US Remote),"Turnitin, LLC",3.5,Boston,"this role provides critical insights to shape product vision, define strategic questions and priorities for our products across the portfolio, ensure cross…",30,2022-05-04,Full-time
511,Product Strategy Manager - (US Remote),"Turnitin, LLC",3.5,Boston,"this role provides critical insights to shape product vision, define strategic questions and priorities for our products across the portfolio, ensure cross…",30,2022-05-04,Full-time
512,AVP Underwriting Innovation,Pacific Life,3.8,Boston,"lead research on the competitive landscape, new vendors, emerging technology and potential partnerships. proven ability to understand technology and translate…",21,2022-05-04,Full-time
513,Workday HCM -Global Lead @ Remote,CEDENT,,Boston,manage the workday tenant and ensure the overall health of our business processes within our global workday system (4500 users). terms of hire: full time.,30,2022-05-04,Full-time
514,US Technology Senior Agile Coach,PRICE WATERHOUSE COOPERS,4.0,Boston,"you’ll focus on managing the design and implementation of technology infrastructure within pwc, developing and enhancing both client and internal facing…",10,2022-05-04,
515,Windows Systems Engineer,"Arrow Electronics, Inc.",3.5,Londonderry,"understanding of multi-tier application architecture and technologies (web servers, database servers, load balancers, etc.).",1,2022-05-04,Full-time
516,Lead Cyber Risk Analyst,UKG (Ultimate Kronos Group),4.1,Lowell,monitors action plans as agreed to with stakeholders to ensure remediation activities are completed according to the agreed upon action plan to help mitigate…,30,2022-05-04,Full-time
517,Information Security Architect,Sparks Group,4.0,Boston,"plan, research, and design security architectures. develop, review, and approve the installation requirements for lanss, wans, vpns, routers, firewalls, and…",3,2022-05-04,
518,Oracle Risk & Regulatory - Experienced Associate,PRICE WATERHOUSE COOPERS,4.0,Boston,"handle, manipulate and analyse data and information responsibly. understanding a client's business and technology in order to identify, and support quality…",30,2022-05-04,
519,Sr. Consultant | Performance Management,Archetype,4.3,Boston,stay up to speed on emerging technologies and dynamic in how we evolve our approach for our customers. support in business process and performance management…,30,2022-05-04,
520,Senior Salesforce Administrator,"Definitive Healthcare, LLC",4.1,Framingham,"the senior salesforce administrator will play a key role in developing an intuitive and flexible crm, and in establishing best practices in support of our gtm…",11,2022-05-04,
521,BXT Delivery - Director,PRICE WATERHOUSE COOPERS,4.0,Boston,"leveraging virtual collaboration tools including ability to troubleshoot virtual technologies, scan the market for new technologies, and test and share findings…",14,2022-05-04,
522,Principal Program Manager,Skillsoft,3.3,Boston,"understand interdependencies between technology, operations and business needs. the strategic program manager is responsible for planning and delivery of…",5,2022-05-04,
523,"AVP, Digital Product Management",Voya Financial,3.4,Boston,accountable for digital outcomes from approximately $5m of annual investment in technology solutions. a large technology investment ($5m+) is typical and the…,12,2022-05-04,Full-time
524,Lead DevSecOps Engineer,Blue Cross Blue Shield of Massachusetts,4.0,Boston,5+ years of hands-on experience delivering cloud technology in matrix delivery organization with insourced and outsourced staff.,30,2022-05-04,Full-time
525,SAP Risk & Regulatory- Experienced Associate,PRICE WATERHOUSE COOPERS,4.0,Boston,"handle, manipulate and analyse data and information responsibly. we assist clients in understanding and challenging their current risk profiles and develop…",30,2022-05-04,
526,System Development Engineer,Dragonfly,,Boston,design and develop improvements to our internal financial and inventory tracking systems. monitor and improve our data connections with e-commerce platforms (e…,30,2022-05-04,
527,Architect Chief - Remote,Akamai,4.1,Cambridge,providing technical guidance to peers on best practices and the latest technology trends. we partner with product teams and executives to develop systematic…,30,2022-05-04,
528,"Implementation Consultant, EdAssist Solutions (Remote Opport...",Bright Horizons Family Solutions,3.5,Newton,the individual must have a proven ability to understand business requirements in a variety of functional areas and the flexibility to adapt to new and changing…,30,2022-05-04,Full-time
529,Technical Program Manager,Akoya,,Boston,"based on each successful onboarding, this role will help build and refine a framework that will drive improvements to the process, the client experience, and…",30,2022-05-04,
530,Customer Success Manager - VMware Tanzu - Opportunity for Wo...,VMware,4.1,Boston,"ensure timely and successful customer on-boarding, enablement, and training to help customers realize the business value of our partnership and offerings.",5,2022-05-04,Full-time
531,ServiceNow Consultant - HRSD (Remote),Deloitte,4.0,Boston,"as a consultant for our servicenow hrsd team, you will use your knowledge and experience of hr operations and the servicenow hr service delivery (hrsd) platform…",30,2022-05-04,Full-time
532,Software Engineer (Development Support) - Remote,Allscripts,3.6,Burlington,"with the largest community of clients in healthcare, allscripts is able to deliver an integrated platform of clinical, financial, connectivity and information…",29,2022-05-04,
533,Technical Program Manager II - Remote,Akamai,4.1,Cambridge,develop and maintain akamai's industry-leading products that are an integral part of a globally distributed network that deliver content for major customers and…,17,2022-05-04,
534,Senior Product Manager - Payments,Cloudbeds,,Boston,"this is a highly technical role, where you will be expected to understand and communicate the complexities of the payments industry, especially as it relates to…",18,2022-05-04,Full-time
535,"Sr. Staff Engineer, VMware Cloud on AWS - Opportunity for Wo...",VMware,4.1,Boston,"proficiency and experience with virtualization and application virtualization technologies. as a senior member of the vmc engineering team, you'll be…",30,2022-05-04,Full-time
536,Application Security Engineer/Application Cyber Security Eng...,QLIK,3.8,Boston,"experience of containerization and orchestration technologies like docker and kubernetes. experience with multiple web frameworks and technologies, including…",30,2022-05-04,Full-time
537,Sr. Technical Analyst - Adobe Experience Manager (REMOTE),Splunk,4.2,Boston,"socialize functionality with business users, including driving uat and demos. knowledge of web technologies (e.g., apis, html/css/js, etc.).",30,2022-05-04,"$115,000 a year"
538,Principal Cloud Architect (Multiple Locations),Raft Company Website,,Boston,work closely with the client and other key stakeholders to provide strategic input and help navigate needs and tradeoffs to build extensive digital solutions.,30,2022-05-04,
539,Senior Salesforce Administrator,Teradyne,4.1,North,"create training materials for end-users and improve user adoption. behind every electronic device you use, teradyne's test technology ensures your device works…",20,2022-05-04,
540,Configuration & Change Management Analyst,Northeastern University,4.2,Boston,the configuration and change management analyst is part of the service management and it operations department within the information technology services…,22,2022-05-04,Full-time
541,Senior Program Manager - Technical,Red Hat Software,4.0,Boston,"5+ years of experience delivering technology-related services or offerings. in this role, you will work as an integral part of a team responsible for planning,…",30,2022-05-04,Full-time
542,Principal Network Engineer - JNCIP / CCNP,Constant Contact,3.7,Waltham,"understanding of load balancing technologies, dns, saas infrastructure. work with other operations teams to troubleshoot and fix complex issues.",30,2022-05-04,
543,"Senior Solutions Architect - Remote, US",Humana,3.6,Boston,"5 or more years of progressive information technology experience directly related to architecture/engineering, information security, or other specialized…",30,2022-05-04,Full-time
544,Product Owner III,IDEMIA,2.8,Billerica,"bachelor’s degree in a computer science, technology, mathematics, engineering or a related discipline??? communicate and negotiate with program managers and…",30,2022-05-04,Full-time
545,Solution Consultant - Commercial Analytics,Veeva Systems,3.7,Boston,"alternatively, 5+ years of experience technology/data or services vendor that specializes in the life sciences industry.",30,2022-05-04,
546,Sr. Front End Engineers with Angular Experience,Apexon,,Boston,"hands on with frontend technology stack primarily with angular 8+, css3, node.js, sass, webpack. bachelor's degree preferably in computer science, information…",30,2022-05-04,$60 - $80 an hour
547,Security Architect,Sophos,,Burlington,analyze architecture-related technical information for problems and provide engineering and technical solution or support.,12,2022-05-04,
548,Sr. Product Manager (Regulatory Compliance) REMOTE,RELX,,Cambridge,experience contributing to engineering discussions around technology decisions and strategy related to a product. also act as product owner in agile processes.,1,2022-05-04,Full-time
549,Senior Business Analyst – Netsuite,Zscaler,3.8,Boston,"meet with business leaders, decision makers, and end users to define business requirements, and systems goals. provide training to end users.",25,2022-05-04,Full-time
550,"Sr. Product Manager, Blockchain - Opportunity for Working Re...",VMware,4.1,Boston,"bachelor’s degree in an engineering or related technology field or equivalent experience. analyzes and evaluates complementary and competitive products,…",30,2022-05-04,Full-time
551,Senior Solutions Consultant,Point B,4.0,Boston,"proven yourself as a subject matter expert with 8+ years of experience developing software solutions for business users, including all aspects of the software…",30,2022-05-04,Full-time
552,Staff/Principal Systems Integration Engineer,Toast,3.6,Boston,"engage hands-on with integration and development teams to help them internalize enterprise requirements, design scalable solutions, and productize the…",30,2022-05-04,
553,NGD Technical Project Manager Sr,Anthem,3.6,Hingham,"the technical project manager sr works independently with business partners to identify and implement medium to large technical projects, as defined by company…",30,2022-05-04,Full-time
554,Director of Chaos Engineering - Ubuntu & Distributed Systems,Canonical - Jobs,,Boston,"you love technology and working with brilliant people. your role will cover the whole product engineering organization, contributing at both high and detailed…",30,2022-05-04,
555,Senior Customer Training Engineer - Analog Mixed Signal - Re...,Siemens,4.0,Boston,"our customers use our tools to push the boundaries of technology and physics in order to deliver better products in the increasingly complex world of chip,…",30,2022-05-04,Full-time
556,"Director, Industry Marketing - Services & Distribution",UKG (Ultimate Kronos Group),4.1,Lowell,"this director role will lead a team in collaborating with sales leadership, product, and partners, to set a strategic vision and execute on thought leadership,…",30,2022-05-04,Full-time
557,"Cybersecurity Manager - Marlborough, MA - 25% telecommuting",Raytheon Missiles & Defense,3.6,Marlborough,eight (8) years of cybersecurity / systems security and/or directly related information technology experience. dod 8570.01-m iam level iii certification.,11,2022-05-04,Full-time
558,Application Security Engineer/Application Cyber Security Eng...,QLIK,3.8,Boston,"experience of containerization and orchestration technologies like docker and kubernetes. experience with multiple web frameworks and technologies, including…",30,2022-05-04,Full-time
559,System Development Engineer,Dragonfly,,Boston,design and develop improvements to our internal financial and inventory tracking systems. monitor and improve our data connections with e-commerce platforms (e…,30,2022-05-04,
560,US Technology UX/UI Lead,PRICE WATERHOUSE COOPERS,4.0,Boston,"you’ll help with the design, creation, prototyping and building out of analytical interfaces for mobile, web, and desktop applications based on pwc’s business…",30,2022-05-04,
561,Senior Security Engineer,Recruiting From Scratch,,Boston,"our client is looking for an experienced security engineer who is passionate about protecting customer data, designing & developing security features, setting…",30,2022-05-04,"$100,000 - $200,000 a year"
562,Senior Project Manager,Synaptic Advisors,,Boston,"end user training: assist to prepare end user training materials customized for each project, deliver training to client trainers and/or end users.",30,2022-05-04,
563,"Practice Lead, Security Analytics - Northeast (Remote)",GuidePoint Security,4.2,Boston,some travel in the area may be required as well. delivering professional services in an enterprise level consultative role.,30,2022-05-04,
564,Application Security Manager (REMOTE),The Hanover Insurance Group,3.7,Worcester,"work with strategic product development, information technology, and information security teams to create a future vision for next generation ci/cd frameworks.",25,2022-05-04,Full-time
565,Implementation Consultant - NuGenesis LMS,Waters Corporation,3.4,Milford,"we are currently seeking an implementation consultant who will coordinate with the customer and other parties to plan, develop, and implement the installation…",30,2022-05-04,Full-time
566,"Enterprise SaaS Project Manager, Sell-side",Agiloft,,Boston,"you will lead the planning, design, implementation, and testing of complex projects that typically affect thousands of client users.",10,2022-05-04,
567,Linux Engineering Manager - Optimisation for Latest Hardware,Canonical - Jobs,,Boston,"you have a bachelor's (or equivalent university level) degree, preferably in a technology field. as a partner engineering manager at canonical your role is to…",30,2022-05-04,
568,"Principal Product Manager, Security & Privacy",HubSpot,4.4,Cambridge,"we are looking for an experienced principal product manager with deep customer obsession, strong technical expertise and experience in software security to…",19,2022-05-04,
569,Enterprise System Support Specialist,Alexander Technology Group,3.6,Boston,rate: hourly rate flexible based on experience. alexander technology group is searching for a enterprise system support specialist to work with our management…,7,2022-05-04,Contract
570,IT Audit Manager - SOC,A-LIGN External,,Boston,"master's or bachelor's degree in accounting, management information systems, or other relevant discipline. as a managing consultant, your responsibilities will…",30,2022-05-04,Full-time
571,Workday Finance & SCM - Manager,PRICE WATERHOUSE COOPERS,4.0,Boston,use multiple sources of information including broader stakeholder views to develop solutions and recommendations. develop new skills outside of comfort zone.,11,2022-05-04,
572,Remote APPLICATION ANALYST III- ERP,SolutionHealth,,Manchester,provides consultative and support services to users of the system. develops and maintains working relationships to enhance ability to meet goals and users…,11,2022-05-04,Overnight shift
573,Principal Technical Product Owner,avidxchange,3.5,Pembroke,ability to prioritize epics and features to meet current needs of the users of the platform while staying on track for the strategic vision of the product.,19,2022-05-04,Full-time
574,Integrations Business Practice Leader,Repsly,,Boston,ability to gather requirements and communicate clearly and concisely to technical and non-technical users alike. reports to: director of professional services.,30,2022-05-04,
575,Medical Writing and Clinical Submission Planning Director,GSK,4.2,Waltham,"build and maintain networks at project, departmental and inter-departmental levels; ensures timely dissemination of information to appropriate levels to improve…",30,2022-05-04,
576,Salesforce Developer,Noodle,4.5,Boston,noodle is seeking a full-time salesforce engineer for our engineering team. the position reports to the sr. director of engineering.,30,2022-05-04,Full-time
577,Deal Analytics - Director,PRICE WATERHOUSE COOPERS,4.0,Boston,"by means of data analytics, you are expected to utilise various data technology including data visualisation, data mining, big data techniques, to identify key…",12,2022-05-04,
578,Senior Implementation Project Manager,BlueConic,,Boston,"help build the best marketing technology product ever, period. multiple examples of acting as pm for the implementation of marketing technologies (especially…",30,2022-05-04,Full-time
579,Systems Engineer,Pitney Bowes,3.6,Massachusetts,"an autonomous, high performing, team driven individual with a keen sense for customer service and client relationship building, both internal and external…",3,2022-05-04,Full-time
580,"Product Manager (Healthcare, Data) - Remote",CVS Health,3.2,Woonsocket,a key part of the responsibility is to build integrated data platforms that enable the delivery of products to drive engagement and revolutionize health and…,30,2022-05-04,
581,Sr. Product Owner - instED (Hybrid/Remote),Commonwealth Care Alliance,3.4,Boston,"experience managing and deploying scalable apps using cloud platform technologies. experience with saas architecture in a cloud setting (azure preferred),…",30,2022-05-04,
582,"Implementation Consultant, EdAssist Solutions (Remote Opport...",Bright Horizons Family Solutions,3.5,Newton,the individual must have a proven ability to understand business requirements in a variety of functional areas and the flexibility to adapt to new and changing…,30,2022-05-04,Full-time
583,Principle Architect - Asset Development,Deloitte,4.0,Boston,"manage and deliver components of client engagements that identify, design, and implement technology and creative business solutions for large companies.",30,2022-05-04,Full-time
584,Senior Solutions Engineer - Remote,Akamai,4.1,Cambridge,through building relationships with major carriers you will deliver innovative solutions that will impact millions of users.,30,2022-05-04,
585,Technical Project Manager,Precision Medicine Group,4.0,Boston,effectively communicate technical information to internal and partner teams. act as the technical point of contact throughout the full project lifecycle…,29,2022-05-04,
586,Systems Engineer - Solutions,"Lakeside Software, Inc.",2.6,Boston,lakeside software is a rapidly growing global leader in workspace analytics. our goal is to help it continuously improve end-user productivity by…,8,2022-05-04,Full-time
587,"Senior Privacy Engineer, Cybersecurity- REMOTE",Motional,,Boston,mission summary: motional is committed to protecting the privacy of our customers and employees. we are looking for a senior privacy engineer capable of…,30,2022-05-04,
588,Mobile Network Engineers (wireless solutions),Casa Systems Inc,3.9,Andover,"casa systems, inc. is seeking to hire multiple mobile network engineers (wireless core or ran) to join its systems engineering team based at its corporate…",30,2022-05-04,Full-time
589,"Splunk Engineer/Architect-Boston, MA",iSenpai,4.6,Boston,"isenpai is a woman owned small business (wosb) that provides enterprise it and cyber security services, cloud technology, and data analytics solutions for us…",30,2022-05-04,
590,Senior Cloud Engineer (100% US Remote),Intrado,3.3,Woburn,"job description for this opening we will consider candidates from the following locations: woburn,ma,united states | , united states;,al,united states;,az…",20,2022-05-04,Full-time
591,"Senior Product Manager - Technical - Boston, Amazon Elastic...","Amazon Dev Center U.S., Inc.",3.5,Boston,"bs in computer science or a related engineering field 5+ years of software product management experience. experience in storage technologies, managing large…",30,2022-05-04,Full-time
592,Salesforce Developer,Starry,3.5,Boston,about starry: starry is a rapidly growing internet service provider and we are proud to be an equal opportunity workplace. just like the internet service we…,30,2022-05-04,"$115,000 - $135,000 a year"
593,Information Security Architect,Sparks Group,4.0,Boston,job summary/company: sparks group has partnered with an accounting consultant advisory firm seeking an information security architect to join their team.…,3,2022-05-04,
594,Solution Architect,TRC Companies,3.7,Boston,the solution architect (sa) is a key resource in solution implementation and system integration projects within the digital grid solutions utility practice of…,30,2022-05-04,
595,"Senior Director, Product Management - vSphere - Opportunity...",VMware,4.1,Boston,senior director product management vsphere business summary vmware is the leader in virtualization and cloud infrastructure solutions that enable our more…,30,2022-05-04,Full-time
596,Project Manager - Design & Digital Solutions,The Trustees of Tufts College,,Somerville,overview: tufts technology services (tts) is a university-wide service organization committed to delivering technology solutions in support of tufts’ mission…,30,2022-05-04,
597,Enterprise Application Architect,Abarca Health,3.3,Boston,"what you'll do in a few words… well, the title says it all, doesn't it? we seek our very own abarcan daedalus. of course, hr will formally call you the…",15,2022-05-04,
598,UKG Techno Functional Lead Consultant,Accenture,4.0,Boston,ukg techno functional lead consultant location: negotiable we are… we are a global collective of innovators applying the new every day to improve the way…,30,2022-05-04,Full-time
599,"Senior Product Manager, Platform & Integrations",Lookout,4.0,Boston,lookout is an integrated endpoint-to-cloud cybersecurity company. our mission is to secure and empower our digital future in a privacy-focused world where…,12,2022-05-04,
600,"Senior Solution Specialist/Customer Success, Cyber Risk Anal...","Guidewire Software, Inc.",3.7,Boston,"are you ready for a new challenge? if so, we would like to see your background! we are searching for a passionate, results-oriented solution architect with a…",30,2022-05-04,Full-time
601,Senior Design Program Manager (REMOTE),CVS Health,3.2,Burlington,"by supporting the operational aspects of the design (ux) focused product teams, the senior dpm enables product management, design, and engineering to focus…",12,2022-05-04,
602,Solution Consultant - Commercial Analytics,Veeva Systems,3.7,Boston,"alternatively, 5+ years of experience technology/data or services vendor that specializes in the life sciences industry.",30,2022-05-04,
603,Heat Pump Product Manager,Dandelion Energy,,Boston,"this person's past experience should demonstrate she or he is adept at defining market requirements, including evaluating the competitive landscape,…",25,2022-05-04,
604,Sr. Project Manager - Clinical Trials/ Studies,Biofourmis,,Boston,"bachelor's degree in business, healthcare, information technology or related industry. this role is also required to play as a business analyst to help…",12,2022-05-04,
605,Director of Chaos Engineering - Ubuntu & Distributed Systems,Canonical - Jobs,,Boston,"you love technology and working with brilliant people. your role will cover the whole product engineering organization, contributing at both high and detailed…",30,2022-05-04,
606,Group Technical Product Manager,Angi,3.3,Boston,"as a group technical product manager at angi, you will be a key member of the product team (and engineering organization) who is responsible for developing and…",5,2022-05-04,
607,PwC Technology - Salesforce Defect Manager,PRICE WATERHOUSE COOPERS,4.0,Boston,"you’ll focus on managing the design and implementation of technology infrastructure within pwc, developing and enhancing both client and internal facing…",30,2022-05-04,
608,Software Engineer - Routing/Multi Cloud/Distributed Systems,Aviatrix,,Boston,"knowledge of enterprise and mid-market it trends, products, and technologies. 0-4 years of professional software development experience in bgp routing, layer 3…",30,2022-05-04,
609,US Tech Service Manager,PRICE WATERHOUSE COOPERS,4.0,Boston,"you’ll focus on managing the design and implementation of technology infrastructure within pwc, developing and enhancing both client and internal facing…",19,2022-05-04,
610,Oracle Risk & Regulatory - Experienced Associate,PRICE WATERHOUSE COOPERS,4.0,Boston,"handle, manipulate and analyse data and information responsibly. understanding a client's business and technology in order to identify, and support quality…",30,2022-05-04,
611,Senior Application Engineer (REMOTE),The Hanover Insurance Group,3.7,Worcester,"support, troubleshoot and debug coding defects identified during quality assurance and business partner validation. this is a full-time, salaried position.",22,2022-05-04,Full-time
